Ref_Date,GEOGRAPHY,CUTOFFBASE,STATISTICS,LICOPERSONS,Value
2011,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,571
1976,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1469
1977,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1482
1978,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1396
1979,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1533
1980,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1505
1981,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1512
1982,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1704
1983,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1996
1984,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2000
1985,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1900
1986,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1841
1987,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1846
1988,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1684
1989,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1596
1990,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1935
1991,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2235
1992,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2338
1993,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2439
1994,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2567
1995,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2640
1996,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2777
1997,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2851
1998,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2635
1999,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2563
2000,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2501
2001,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2306
2002,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2405
2003,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2465
2004,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2442
2005,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2365
2006,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2324
2007,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2093
2008,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2179
2009,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2266
2010,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2215
2011,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2139
1976,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,553
1977,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,597
1978,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,595
1979,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,546
1980,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,462
1981,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,468
1982,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,406
1983,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,453
1984,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,390
1985,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,364
1986,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,348
1987,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,337
1988,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,356
1989,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,320
1990,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,316
1991,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,336
1992,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,304
1993,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,338
1994,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,276
1995,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,287
1996,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,327
1997,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,308
1998,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,300
1999,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,281
2000,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,275
2001,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,246
2002,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,284
2003,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,259
2004,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,219
2005,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,245
2006,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,217
2007,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,202
2008,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,249
2009,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,227
2010,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,242
2011,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,249
1976,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1282
1977,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1315
1978,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1244
1979,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1289
1980,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1165
1981,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1199
1982,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1335
1983,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1565
1984,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1538
1985,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1451
1986,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1390
1987,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1365
1988,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1208
1989,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1156
1990,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1393
1991,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1645
1992,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1681
1993,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1817
1994,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1818
1995,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1929
1996,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,2031
1997,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,2050
1998,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1880
1999,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1822
2000,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1687
2001,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1546
2002,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1629
2003,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1691
2004,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1678
2005,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1639
2006,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1586
2007,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1431
2008,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1430
2009,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1548
2010,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1446
2011,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Males,1451
1976,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1707
1977,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1710
1978,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1620
1979,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1700
1980,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1629
1981,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1628
1982,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1721
1983,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1924
1984,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1914
1985,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1839
1986,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1707
1987,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1713
1988,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1636
1989,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1553
1990,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1799
1991,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1962
1992,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1996
1993,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,2139
1994,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,2161
1995,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,2223
1996,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,2366
1997,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,2329
1998,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,2152
1999,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,2039
2000,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,2056
2001,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1850
2002,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1911
2003,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1903
2004,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1867
2005,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1763
2006,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1707
2007,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1508
2008,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1605
2009,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1580
2010,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1561
2011,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Females,1507
1976,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2183
1977,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2159
1978,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2003
1979,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2115
1980,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,1891
1981,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,1933
1982,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2157
1983,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2453
1984,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2474
1985,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2303
1986,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2117
1987,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2085
1988,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,1840
1989,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,1765
1990,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2136
1991,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2385
1992,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2444
1993,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2715
1994,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2713
1995,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2857
1996,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3031
1997,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2982
1998,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2650
1999,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2495
2000,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2397
2001,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2105
2002,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2277
2003,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2298
2004,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2203
2005,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2010
2006,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,1927
2007,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,1637
2008,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,1724
2009,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,1816
2010,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,1673
2011,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,1565
1976,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,606
1977,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,561
1978,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,496
1979,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,586
1980,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,475
1981,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,493
1982,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,548
1983,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,617
1984,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,600
1985,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,587
1986,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,525
1987,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,496
1988,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,412
1989,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,408
